order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,region,state,city,category,sub_category,product_name,quantity,unit_price,discount,sales,profit,payment_method
ORD-2024-00605,2024-11-26,2024-12-02,Standard Class,CUST-0714,Arjun Williams,Consumer,West,Arizona,Phoenix,Technology,Accessories,Mechanical Keyboard,6,70.62,0.0,423.72,115.56,Debit Card
ORD-2024-03401,2024-09-15,2024-09-19,First Class,CUST-0015,Kevin Singh,Consumer,East,New Jersey,Newark,Furniture,Tables,Standing Desk,1,749.03,0.0,749.03,86.61,Cash on Delivery
ORD-2025-01609,16/07/2025,2025-07-20,Second Class,CUST-0224,Isha Khan,Corporate,West,California,San Francisco,Furniture,Bookcases,Corner Bookcase,4,141.63,0.0,566.52,-22.83,Credit Card
ORD-2025-00168,2025-04-20,2025-04-25,Standard Class,CUST-0712,Isha Smith,Consumer,South,Georgia,Atlanta,Furniture,Chairs,Folding Chair,2,128.09,0.2,204.94,-1.92,Debit Card
ORD-2024-03022,2024-10-17,2024-10-19,First Class,CUST-0306,Aarav Khan,Consumer,South,North Carolina,Charlotte,Office Supplies,Paper,Notebook Set,4,16.58,0.3,46.42,5.57,PayPal
ORD-2025-02987,2025-10-23,2025-10-29,Standard Class,CUST-0246,Michael Patel,Consumer,West,Oregon,Portland,Technology,Accessories,Wireless Mouse,5,147.51,0.1,663.79,225.18,Debit Card
ORD-2025-01745,2025-12-26,2025-12-26,Same Day,CUST-0307,Sara Davis,Corporate,West,Arizona,Phoenix,office supplies,Art,Marker Set,2,15.61,0.1,28.1,8.93,Credit Card
ORD-2025-05447,29/12/2025,2026-01-03,Second Class,CUST-0676,Aarav Davis,Home Office,Central,Michigan,Detroit,Office Supplies,Storage,Desk Organizer,2,34.68,0.0,69.36,19.21,PayPal
ORD-2024-00812,2024-10-22,2024-10-25,Second Class,CUST-0373,Arjun Sharma,Home Office,East,New York,New York City,Office Supplies,Binders,3-Ring Binder,3,9.64,0.0,28.92,4.3,PayPal
ORD-2025-05165,2025-11-02,2025-11-08,Standard Class,CUST-0550,Daniel Patel,Home Office,East,New York,New York City,Office Supplies,Storage,Desk Organizer,5,180.63,0.5,451.57,-12.46,Debit Card
ORD-2024-04763,11/03/2024,2024-03-12,Same Day,CUST-0571,Ananya Johnson,Consumer,East,Pennsylvania,Pittsburgh,Office Supplies,Paper,Sticky Notes Pack,4,20.32,0.0,81.28,23.96,Credit Card
ORD-2024-05340,2024-03-23,2024-03-28,Standard Class,CUST-0300,Emily Williams,Consumer,West,Washington,Spokane,Office Supplies,Art,Highlighter Pack,2,18.59,0.1,33.46,11.32,PayPal
ORD-2024-01731,2024-10-16,2024-10-22,Standard Class,CUST-0060,Ananya Johnson,Consumer,Central,Michigan,Detroit,Furniture,Bookcases,5-Shelf Bookcase,3,183.79,0.0,551.37,33.57,PayPal
ORD-2024-01700,2024-05-31,2024-06-07,Standard Class,CUST-0416,Sofia Smith,Consumer,Central,Texas,Houston,Office Supplies,Paper,Sticky Notes Pack,5,26.58,0.0,132.9,51.82,Cash on Delivery
ORD-2025-01358,2025-10-29,2025-11-05,Standard Class,CUST-0403,Isha Williams,Home Office,South,North Carolina,Charlotte,Office Supplies,Storage,Storage Box,4,77.42,0.1,278.71,44.79,Credit Card
ORD-2025-03681,2025-12-01,2025-12-05,First Class,CUST-0035,Meera Patel,Consumer,South,Georgia,Atlanta,Furniture,Chairs,Folding Chair,4,329.43,0.0,1317.72,118.86,Debit Card
ORD-2025-00320,2025-04-09,2025-04-13,Second Class,CUST-0474,Isha Khan,Consumer,West,Arizona,Phoenix,Office Supplies,Art,Highlighter Pack,3,18.41,0.2,44.18,6.16,Debit Card
ORD-2025-04016,2025-10-29,2025-11-04,Standard Class,CUST-0617,Meera Khan,Consumer,East,New York,Buffalo,Furniture,Bookcases,Corner Bookcase,2,165.59,0.1,298.06,-39.24,PayPal
ORD-2025-03353,2025-12-02,2025-12-09,Standard Class,CUST-0689,James Johnson,Home Office,West,Arizona,Phoenix,Office Supplies,Storage,File Cabinet,3,121.07,0.3,254.25,18.4,Cash on Delivery
ORD-2024-04619,07/03/2024,2024-03-09,First Class,CUST-0796,John Johnson,Consumer,East,Massachusetts,Boston,Furniture,Chairs,Executive Chair,2,376.78,0.2,602.85,31.14,Debit Card
ORD-2025-01109,2025-07-08,2025-07-11,Second Class,CUST-0154,Laura Williams,Consumer,Central,Michigan,Detroit,Office Supplies,Paper,A4 Copy Paper 500,4,32.17,0.0,128.68,42.03,Credit Card
ORD-2025-04629,13/08/2025,2025-08-20,Standard Class,CUST-0114,Aarav Khan,Consumer,South,Florida,Orlando,Technology,Phones,Wireless Headset,6,861.23,0.1,4650.64,640.5,Cash on Delivery
ORD-2024-02945,2024-11-19,2024-11-25,Standard Class,CUST-0079,Daniel Brown,Corporate,East,New Jersey,,Furniture,Chairs,Executive Chair,2,112.12,0.1,201.82,9.0,Debit Card
ORD-2025-01303,2025-03-02,2025-03-08,Standard Class,CUST-0685,Meera Brown,Home Office,East,Pennsylvania,Philadelphia,Technology,Accessories,Wireless Mouse,4,131.58,0.2,421.06,74.78,PayPal
ORD-2025-02032,2025-01-05,2025-01-08,First Class,CUST-0637,Arjun Sharma,Corporate,South,Florida,Orlando,Furniture,Bookcases,5-Shelf Bookcase,6,112.68,0.1,608.47,-2.77,Credit Card
ORD-2025-01427,2025-04-29,2025-05-02,First Class,CUST-0135,Olivia Singh,Consumer,South,Florida,Miami,  Office Supplies ,Storage,Desk Organizer,2,118.35,0.3,$165.69,15.37,PayPal
ORD-2025-00297,2025-04-16,2025-04-19,Second Class,CUST-0647,Michael Sharma,Corporate,Central,Michigan,Detroit,Technology,Phones,Smartphone X,7,291.49,0.0,"$2,040.43",310.96,Debit Card
ORD-2024-02648,2024-07-30,2024-08-05,Standard Class,CUST-0011,John Khan,Corporate,East,Massachusetts,,Office Supplies,Art,Highlighter Pack,4,17.52,0.1,63.07,8.92,PayPal
ORD-2024-01663,2024-05-27,2024-06-01,Second Class,CUST-0330,Meera Davis,,East,New Jersey,Newark,Office Supplies,Paper,Notebook Set,3,26.45,0.0,79.35,25.03,Cash on Delivery
ORD-2025-02751,2025-12-13,2025-12-18,Second Class,CUST-0220,Daniel Khan,Corporate,East,New Jersey,Newark,Office Supplies,Storage,Desk Organizer,1,194.66,0.0,194.66,44.64,Credit Card
ORD-2025-04360,24/07/2025,2025-07-30,Standard Class,CUST-0774,Sofia Davis,Consumer,Central,Michigan,Detroit,Technology,Phones,Wireless Headset,4,863.38,0.1,3108.17,372.01,Debit Card
ORD-2024-02346,2024-10-18,2024-10-23,,CUST-0777,Sofia Brown,Consumer,West,Arizona,Phoenix,Office Supplies,Storage,Desk Organizer,4,156.91,0.1,$564.88,58.28,Cash on Delivery
ORD-2024-01187,2024-05-21,2024-05-26,Standard Class,CUST-0508,David Patel,Consumer,East,Massachusetts,Boston,Office Supplies,Paper,A4 Copy Paper 500,5,29.4,0.0,147.0,59.91,Cash on Delivery
ORD-2025-04695,2025-12-24,2025-12-30,Standard Class,CUST-0066,Meera Smith,Home Office,East,Massachusetts,Boston,Furniture,Tables,Conference Table,5,135.35,0.0,676.75,25.06,Cash on Delivery
ORD-2024-01216,21/08/2024,2024-08-24,First Class,CUST-0286,Priya Khan,,West,California,Los Angeles,Office Supplies,Art,Marker Set,5,21.17,0.0,105.85,32.5,PayPal
ORD-2025-01394,26/12/2025,2025-12-31,Second Class,CUST-0317,Nina Sharma,Consumer,Central,Illinois,Chicago,Furniture,Tables,Standing Desk,4,564.61,0.1,2032.6,155.47,Cash on Delivery
ORD-2024-01513,2024-01-09,2024-01-16,Standard Class,CUST-0018,Sara Williams,Corporate,West,Washington,Spokane,Furniture,Bookcases,5-Shelf Bookcase,3,228.95,0.0,686.85,14.27,Cash on Delivery
ORD-2025-04344,2025-03-29,2025-04-05,Standard Class,CUST-0635,Meera Sharma,Home Office,Central,Texas,Austin,Furniture,Tables,Conference Table,4,348.66,0.3,976.25,-209.27,PayPal
ORD-2025-03619,2025-08-06,2025-08-12,Standard Class,CUST-0217,Rahul Patel,Consumer,Central,Illinois,Chicago,Technology,Machines,Document Scanner,5,761.56,0.1,3427.02,532.67,PayPal
ORD-2024-01962,2024-07-04,2024-07-11,Standard Class,CUST-0519,Sara Singh,Consumer,South,North Carolina,Charlotte,Technology,Machines,Label Maker,6,1016.88,0.3,4270.9,-96.12,Cash on Delivery
ORD-2024-00234,2024-03-09,2024-03-12,First Class,CUST-0567,David Brown,Consumer,West,Oregon,Portland,Technology,Phones,Desk Phone,3,579.29,0.1,1564.08,202.81,Cash on Delivery
ORD-2025-03804,2025-11-27,2025-11-29,Same Day,CUST-0129,Aarav Smith,Consumer,Central,Michigan,Detroit,Office Supplies,Paper,Sticky Notes Pack,5,11.48,0.2,45.92,10.64,PayPal
ORD-2024-03816,2024-12-28,2025-01-02,Standard Class,CUST-0548,Arjun Williams,Home Office,West,Arizona,Phoenix,Office Supplies,Binders,3-Ring Binder,2,8.65,0.0,17.3,3.87,Debit Card
ORD-2025-04055,2025-08-03,2025-08-10,Standard Class,CUST-0009,Nina Smith,Home Office,West,Washington,Seattle,Office Supplies,Binders,3-Ring Binder,3,20.87,0.3,43.83,-1.2,Credit Card
ORD-2025-05154,2025-11-23,2025-11-27,Second Class,CUST-0192,Kevin Williams,Corporate,Central,Ohio,Columbus,Office Supplies,Binders,3-Ring Binder,4,17.86,0.3,50.01,6.99,PayPal
ORD-2025-00347,2025-11-22,2025-11-27,Second Class,CUST-0790,David Singh,Corporate,East,New York,New York City,Office Supplies,Storage,Storage Box,4,25.68,0.0,102.72,21.94,Debit Card
ORD-2025-02064,09/02/2025,2025-02-16,Standard Class,CUST-0413,Rahul Williams,Consumer,West,Arizona,Phoenix,Office Supplies,Binders,3-Ring Binder,5,6.73,0.0,33.65,11.47,Debit Card
ORD-2025-02035,2025-09-13,2025-09-18,Standard Class,CUST-0665,Emily Patel,Home Office,Central,Texas,Austin,Office Supplies,Storage,File Cabinet,2,138.84,0.1,249.91,28.39,PayPal
ORD-2024-02928,2024-06-02,2024-06-02,Same Day,CUST-0578,Nina Johnson,Consumer,Central,Michigan,Detroit,Office Supplies,Storage,Desk Organizer,5,80.33,0.3,281.15,18.3,Debit Card
ORD-2024-00577,2024-01-17,2024-01-20,First Class,CUST-0264,Isha Williams,,Central,Ohio,Columbus,Office Supplies,Paper,Notebook Set,4,13.21,0.0,52.84,18.57,Credit Card
ORD-2024-01057,2024-11-13,2024-11-16,Second Class,CUST-0661,Laura Singh,Consumer,West,California,San Diego,Furniture,Tables,Conference Table,1,659.06,0.0,659.06,75.43,PayPal
ORD-2024-03541,20/04/2024,2024-04-21,Same Day,CUST-0162,Nina Johnson,Corporate,West,Arizona,Phoenix,Technology,Accessories,Mechanical Keyboard,2,134.69,0.0,269.38,84.01,Cash on Delivery
ORD-2024-03405,2024-10-05,2024-10-06,Same Day,CUST-0240,Arjun Davis,Consumer,Central,Ohio,Columbus,Furniture,Bookcases,5-Shelf Bookcase,2,233.46,0.2,373.54,-17.29,Cash on Delivery
ORD-2025-01635,2025-04-18,2025-04-23,Standard Class,CUST-0415,Kevin Singh,Corporate,South,North Carolina,Charlotte,office supplies,Binders,3-Ring Binder,5,21.54,0.0,107.7,19.57,Credit Card
ORD-2025-01923,2025-10-23,2025-10-29,Standard Class,CUST-0537,Aarav Williams,Home Office,Central,Ohio,Columbus,Furniture,Bookcases,Corner Bookcase,1,121.13,0.3,84.79,-8.08,Debit Card
ORD-2025-00545,2025-09-09,2025-09-13,Second Class,CUST-0286,Priya Khan,Consumer,West,California,Los Angeles,Furniture,Bookcases,Corner Bookcase,4,181.66,0.0,726.64,32.68,PayPal
ORD-2024-01826,2024-04-18,2024-04-25,Standard Class,CUST-0399,Kevin Patel,Consumer,East,Pennsylvania,Pittsburgh,Furniture,Tables,Coffee Table,2,312.58,0.1,$562.64,20.41,Credit Card
ORD-2024-03019,2024-12-08,2024-12-11,First Class,CUST-0256,Daniel Singh,,Central,Illinois,Chicago,Furniture,Chairs,Executive Chair,3,65.4,0.1,176.58,3.51,Debit Card
ORD-2025-05714,26/10/2025,2025-11-02,Standard Class,CUST-0741,Sofia Verma,Consumer,West,Washington,Spokane,Office Supplies,Binders,Presentation Binder,4,9.23,0.2,29.54,4.48,Debit Card
ORD-2024-03760,2024-08-26,2024-08-31,Second Class,CUST-0686,Daniel Singh,Consumer,Central,Ohio,Columbus,Technology,Accessories,Wireless Mouse,7,111.18,0.0,778.26,167.22,Credit Card
ORD-2025-00707,2025-05-26,2025-05-31,Standard Class,CUST-0351,David Smith,Consumer,West,Washington,Seattle,Furniture,Chairs,Ergonomic Office Chair,2,132.49,0.1,238.48,9.06,Cash on Delivery
ORD-2025-03938,2025-06-20,2025-06-25,Second Class,CUST-0002,James Williams,Consumer,West,California,Los Angeles,Office Supplies,Art,Highlighter Pack,3,22.76,0.0,68.28,19.28,Cash on Delivery
ORD-2024-05895,2024-07-03,2024-07-08,Second Class,CUST-0401,Sofia Smith,Consumer,South,North Carolina,Charlotte,Technology,Accessories,Wireless Mouse,3,140.85,0.2,338.04,70.83,PayPal
ORD-2025-04378,2025-01-05,2025-01-08,Second Class,CUST-0514,Chris Sharma,,East,New York,Buffalo,Office Supplies,Storage,Storage Box,1,161.62,0.1,$145.46,30.24,PayPal
ORD-2024-05981,2024-11-27,2024-12-04,Standard Class,CUST-0520,Aarav Davis,Consumer,East,Pennsylvania,Pittsburgh,Office Supplies,Binders,Presentation Binder,1,29.55,0.0,29.55,3.43,PayPal
ORD-2024-04881,2024-08-30,2024-09-04,Second Class,CUST-0379,Isha Davis,Consumer,East,Pennsylvania,Pittsburgh,Technology,Accessories,Wireless Mouse,4,142.87,0.0,571.48,244.83,Debit Card
ORD-2025-04103,2025-11-20,2025-11-25,Standard Class,CUST-0646,Priya Johnson,Consumer,East,New York,New York City,Office Supplies,Paper,Notebook Set,3,32.98,0.2,79.15,10.78,Credit Card
ORD-2025-01075,2025-10-28,2025-11-02,Second Class,CUST-0782,Nina Smith,Corporate,East,Pennsylvania,Pittsburgh,furniture,Chairs,Executive Chair,2,331.55,0.2,530.48,2.02,Cash on Delivery
ORD-2024-04084,2024-12-31,2025-01-06,Standard Class,CUST-0216,Arjun Smith,Consumer,South,Tennessee,Nashville,Office Supplies,Paper,Sticky Notes Pack,5,27.85,0.1,125.33,30.43,Cash on Delivery
ORD-2025-03406,2025-10-26,2025-10-30,First Class,CUST-0553,Olivia Williams,Corporate,West,Arizona,Phoenix,Office Supplies,Storage,Desk Organizer,1,75.43,0.2,60.34,10.85,Credit Card
ORD-2025-01346,2025-07-09,2025-07-14,Standard Class,CUST-0323,Nina Sharma,Home Office,Central,Michigan,Detroit,Office Supplies,Art,Highlighter Pack,3,15.43,0.1,41.66,13.86,Cash on Delivery
ORD-2025-01420,2025-10-14,2025-10-21,Standard Class,CUST-0019,Arjun Brown,Home Office,South,Tennessee,Nashville,Technology,Accessories,Mechanical Keyboard,3,29.09,0.0,87.27,29.59,Debit Card
ORD-2024-04590,2024-10-13,2024-10-16,First Class,CUST-0559,Rahul Johnson,Consumer,West,Arizona,Phoenix,Furniture,Tables,Coffee Table,3,340.68,0.0,1022.04,148.61,Credit Card
ORD-2024-01621,25/07/2024,2024-08-01,Standard Class,CUST-0301,David Khan,Corporate,Central,Illinois,Chicago,Office Supplies,Binders,Presentation Binder,2,5.33,0.2,$8.53,0.01,Cash on Delivery
ORD-2025-02487,2025-12-22,2025-12-28,,CUST-0022,Michael Verma,Corporate,Central,Illinois,Chicago,Furniture,Bookcases,5-Shelf Bookcase,1,189.72,0.3,132.8,-26.65,Credit Card
ORD-2024-02917,2024-04-01,2024-04-07,Standard Class,CUST-0613,Michael Patel,Consumer,West,California,San Francisco,Technology,Phones,Desk Phone,2,263.51,0.0,527.02,80.85,PayPal
ORD-2024-03319,17/10/2024,2024-10-23,Standard Class,CUST-0704,James Patel,Corporate,South,Georgia,Atlanta,Technology,Machines,Document Scanner,5,392.93,0.0,1964.65,94.0,Cash on Delivery
ORD-2024-02458,2024-01-27,2024-02-01,Standard Class,CUST-0155,Sara Smith,Corporate,East,Pennsylvania,Pittsburgh,TECHNOLOGY,Machines,Laser Printer,4,803.5,0.5,1607.0,-466.26,PayPal
ORD-2025-02903,29/09/2025,2025-10-03,Second Class,CUST-0313,Isha Singh,Consumer,Central,Michigan,Detroit,Office Supplies,Binders,3-Ring Binder,3,6.44,0.0,19.32,3.9,Debit Card
ORD-2024-01040,08/08/2024,2024-08-10,First Class,CUST-0299,John Williams,Corporate,Central,Michigan,Detroit,Technology,Accessories,USB-C Hub,2,126.85,0.0,253.7,70.72,Credit Card
ORD-2025-04516,2025-01-21,2025-01-26,Second Class,CUST-0136,Daniel Sharma,Consumer,Central,Ohio,Columbus,Technology,Machines,Document Scanner,1,1428.88,0.2,1143.1,99.98,Credit Card
ORD-2025-02523,2025-01-20,2025-01-25,Standard Class,CUST-0662,Rahul Williams,Home Office,East,New York,New York City,Office Supplies,Binders,Presentation Binder,2,6.63,0.1,11.93,2.6,PayPal
ORD-2024-01500,2024-03-11,2024-03-18,Standard Class,CUST-0173,Priya Brown,Home Office,East,New York,New York City,Office Supplies,Binders,3-Ring Binder,3,13.34,0.0,40.02,12.79,Debit Card
ORD-2025-00743,2025-12-28,2026-01-03,Standard Class,CUST-0463,John Johnson,Corporate,East,Massachusetts,Boston,Office Supplies,Paper,Notebook Set,1,14.78,0.2,11.82,3.72,PayPal
ORD-2025-05742,2025-04-16,2025-04-20,Second Class,CUST-0027,Kevin Verma,Consumer,East,Massachusetts,Boston,Office Supplies,Art,Marker Set,6,10.35,0.3,43.47,0.89,Credit Card
ORD-2024-05829,2024-12-08,2024-12-12,Second Class,CUST-0463,John Johnson,Corporate,East,Massachusetts,Boston,Furniture,Bookcases,5-Shelf Bookcase,8,176.43,0.0,"$1,411.44",-61.0,PayPal
ORD-2024-05420,2024-11-23,2024-11-29,Standard Class,CUST-0028,Ananya Smith,Consumer,West,Washington,Seattle,Furniture,Bookcases,5-Shelf Bookcase,4,142.13,0.0,568.52,-39.68,PayPal
ORD-2024-05639,2024-06-02,2024-06-05,First Class,CUST-0599,Ananya Johnson,Corporate,South,Florida,Miami,Technology,Machines,Label Maker,5,793.79,0.0,3968.95,448.08,Debit Card
ORD-2025-04653,2025-10-06,2025-10-11,Standard Class,CUST-0742,Sofia Johnson,Consumer,East,Pennsylvania,Philadelphia,Office Supplies,Binders,3-Ring Binder,6,20.3,0.1,109.62,28.46,Debit Card
ORD-2024-02481,02/04/2024,2024-04-06,Second Class,CUST-0078,Isha Davis,Consumer,Central,Ohio,Columbus,Office Supplies,Paper,Sticky Notes Pack,5,16.96,0.2,67.84,12.48,PayPal
ORD-2024-01865,2024-01-05,2024-01-10,Standard Class,CUST-0525,Rahul Patel,Corporate,South,Tennessee,Nashville,Office Supplies,Binders,Presentation Binder,3,6.88,0.0,20.64,3.34,Cash on Delivery
ORD-2024-03429,2024-11-13,2024-11-18,Second Class,CUST-0644,Olivia Singh,Corporate,West,Oregon,,Technology,Machines,Document Scanner,10,1012.97,0.2,8103.76,-130.33,Credit Card
ORD-2025-02654,2025-10-04,2025-10-09,Standard Class,CUST-0615,Chris Williams,Corporate,South,Tennessee,Nashville,Office Supplies,Art,Highlighter Pack,3,8.82,0.0,$26.46,6.59,Cash on Delivery
ORD-2025-01145,2025-04-25,2025-04-30,Standard Class,CUST-0154,Laura Williams,Consumer,Central,Michigan,Detroit,Technology,Machines,Laser Printer,4,1080.88,0.0,4323.52,1045.94,Cash on Delivery
ORD-2025-03526,2025-06-17,2025-06-22,Standard Class,CUST-0490,Arjun Johnson,Consumer,West,Washington,Seattle,Office Supplies,Storage,Storage Box,4,61.63,0.0,246.52,41.09,Debit Card
ORD-2024-00081,2024-03-28,2024-04-01,Second Class,CUST-0140,Arjun Brown,Consumer,South,North Carolina,Charlotte,Technology,Machines,Document Scanner,1,1402.44,0.1,1262.2,67.65,Cash on Delivery
ORD-2024-04884,2024-12-25,2025-01-01,Standard Class,CUST-0196,Laura Williams,Home Office,West,Arizona,Phoenix,Furniture,Bookcases,5-Shelf Bookcase,6,326.23,0.1,1761.64,-81.19,Cash on Delivery
ORD-2025-04819,2025-04-26,2025-04-30,Second Class,CUST-0791,Kevin Brown,Home Office,East,New Jersey,Newark,Furniture,Tables,Coffee Table,4,710.55,0.1,2557.98,42.45,PayPal
ORD-2024-05577,2024-10-11,2024-10-18,Standard Class,CUST-0134,John Verma,Consumer,West,Arizona,Phoenix,Office Supplies,Storage,Storage Box,6,122.91,0.2,589.97,58.25,Debit Card
ORD-2024-01787,2024-09-29,2024-10-01,First Class,CUST-0651,David Khan,Home Office,West,Oregon,Portland,Office Supplies,Paper,Notebook Set,1,10.75,0.0,$10.75,4.53,Credit Card
ORD-2025-05097,2025-08-05,2025-08-10,Standard Class,CUST-0420,Emily Patel,Home Office,West,Oregon,Portland,Office Supplies,Paper,Sticky Notes Pack,3,18.56,0.0,55.68,22.74,Credit Card
ORD-2025-00961,16/06/2025,2025-06-21,Second Class,CUST-0660,Laura Brown,Consumer,Central,Michigan,Detroit,Office Supplies,Binders,Presentation Binder,4,21.06,0.0,84.24,16.65,PayPal
ORD-2025-02756,2025-01-07,2025-01-14,Standard Class,CUST-0266,John Williams,Consumer,Central,Texas,Austin,Furniture,Chairs,Ergonomic Office Chair,6,374.95,0.1,2024.73,278.99,Credit Card
ORD-2024-05520,2024-08-29,2024-09-03,Standard Class,CUST-0656,Daniel Patel,Consumer,West,Oregon,Portland,Furniture,Tables,Conference Table,8,541.89,0.1,3901.61,234.06,Debit Card
ORD-2024-00080,2024-05-28,2024-05-30,Same Day,CUST-0428,Rahul Smith,Consumer,West,Washington,Seattle,Furniture,Chairs,Ergonomic Office Chair,2,280.45,0.0,560.9,102.5,Cash on Delivery
ORD-2024-01567,2024-04-15,2024-04-19,Second Class,CUST-0494,Chris Verma,Home Office,East,Massachusetts,Boston,Technology,Machines,Label Maker,4,696.3,0.0,2785.2,342.45,Cash on Delivery
ORD-2024-01570,2024-12-04,2024-12-06,Same Day,CUST-0765,Chris Singh,Corporate,Central,Ohio,Columbus,Technology,Phones,Smartphone X,3,897.35,0.3,1884.43,-81.26,Cash on Delivery
ORD-2024-02167,2024-04-22,2024-04-29,Standard Class,CUST-0100,Meera Patel,Corporate,South,Georgia,Atlanta,Furniture,Tables,Standing Desk,2,272.56,0.1,490.61,32.23,Cash on Delivery
ORD-2025-00713,2025-05-11,2025-05-17,Standard Class,CUST-0221,Michael Singh,Consumer,Central,Michigan,Detroit,Furniture,Chairs,Ergonomic Office Chair,2,170.66,0.0,341.32,53.99,Cash on Delivery
ORD-2024-01085,2024-08-12,2024-08-19,Standard Class,CUST-0553,Olivia Williams,Corporate,West,Arizona,Phoenix,Furniture,Bookcases,Corner Bookcase,3,190.27,0.0,570.81,14.8,Cash on Delivery
ORD-2024-01331,2024-03-01,2024-03-07,Standard Class,CUST-0545,Priya Brown,Consumer,East,New Jersey,Newark,Office Supplies,Binders,3-Ring Binder,4,16.62,0.0,66.48,20.89,PayPal
ORD-2024-00024,2024-10-18,2024-10-21,Second Class,CUST-0024,Ananya Khan,Home Office,East,New York,New York City,Furniture,Bookcases,Corner Bookcase,4,228.18,0.1,821.45,47.9,Credit Card
ORD-2025-03408,2025-11-27,2025-12-01,Second Class,CUST-0379,Isha Davis,Consumer,East,Pennsylvania,Pittsburgh,Office Supplies,Storage,File Cabinet,2,119.34,0.0,238.68,39.99,Cash on Delivery
ORD-2025-03780,2025-07-07,2025-07-12,Standard Class,CUST-0729,Isha Davis,Corporate,East,New York,New York City,Office Supplies,Paper,Sticky Notes Pack,2,10.19,0.3,14.27,1.67,Cash on Delivery
ORD-2025-04373,2025-06-07,2025-06-10,Second Class,CUST-0711,Kevin Patel,Consumer,East,New Jersey,Newark,Office Supplies,Art,Marker Set,2,17.65,0.2,28.24,5.02,Credit Card
ORD-2025-04127,2025-01-04,2025-01-11,Standard Class,CUST-0392,John Khan,Consumer,East,New Jersey,Newark,Office Supplies,Paper,Sticky Notes Pack,2,26.19,0.3,36.67,5.32,Debit Card
ORD-2024-05473,2024-07-23,2024-07-30,Standard Class,CUST-0595,Ananya Verma,Consumer,West,Washington,Seattle,Office Supplies,Storage,Storage Box,3,27.58,0.0,82.74,15.81,Credit Card
ORD-2024-04162,18/02/2024,2024-02-23,Second Class,CUST-0622,Olivia Khan,Consumer,South,Georgia,Atlanta,Furniture,Bookcases,Corner Bookcase,2,287.12,0.0,574.24,55.64,Debit Card
ORD-2024-04991,2024-01-06,2024-01-12,Standard Class,CUST-0468,Sofia Smith,Consumer,Central,Illinois,Chicago,  Office Supplies ,Paper,A4 Copy Paper 500,2,37.35,0.3,52.29,6.39,Credit Card
ORD-2025-01262,2025-12-16,2025-12-21,Second Class,CUST-0356,Priya Verma,Home Office,South,Tennessee,Nashville,Office Supplies,Art,Highlighter Pack,2,3.7,0.0,7.4,2.89,Cash on Delivery
